Time,Joint,ProximitySensor
1702214303561,-1.57,0.0
1702214303608,0.0,0.0
1702214303608,-1.57,0.0
1702214303608,-1.57,0.0
1702214303656,0.0,0.0
1702214303656,-1.57,0.0
1702214303656,-1.57,0.0
1702214303704,0.0,0.0
1702214303704,-1.57,0.0
1702214303704,-1.57,0.0
1702214303750,0.0,0.0
1702214303750,-1.57,0.0
1702214303750,-1.57,0.0
1702214303797,0.0,0.0
1702214303797,-1.57,0.0
1702214303797,-1.57,0.0
1702214303843,0.0,0.0
1702214303843,-1.57,0.0
1702214303843,-1.57,0.0
1702214303889,0.0,0.0
1702214303889,-1.57,0.0
1702214303889,-1.57,0.0
1702214303936,0.0,0.0
1702214303936,-1.57,0.0
1702214303936,-1.57,0.0
1702214303982,0.0,0.0
1702214303982,-1.57,0.0
1702214303982,-1.57,0.0
1702214304029,0.0,0.0
1702214304029,-1.57,0.0
1702214304029,-1.57,0.0
1702214304077,0.0,0.0
1702214304077,-1.57,0.0
1702214304077,-1.57,0.0
1702214304123,0.0,0.0
1702214304123,-1.57,0.0
1702214304123,-1.57,0.0
1702214304169,0.0,0.0
1702214304169,-1.57,0.0
1702214304169,-1.57,0.0
1702214304216,0.0,0.0
1702214304216,-1.57,0.0
1702214304216,-1.57,0.0
1702214304264,0.0,0.0
1702214304264,-1.57,0.0
1702214304264,-1.57,0.0
1702214304311,0.0,0.0
1702214304311,-1.57,0.0
1702214304311,-1.57,0.0
1702214304358,0.0,0.0
1702214304358,-1.57,0.0
1702214304358,-1.57,0.0
1702214304404,0.0,0.0
1702214304404,-1.57,0.0
1702214304404,-1.57,0.0
1702214304450,0.0,0.0
1702214304450,-1.57,0.0
1702214304450,-1.57,0.0
1702214304496,0.0,0.0
1702214304496,-1.57,0.0
1702214304496,-1.57,0.0
1702214304544,0.0,0.0
1702214304544,-1.57,0.0
1702214304544,-1.57,0.0
1702214304592,0.0,0.0
1702214304592,-1.57,0.0
1702214304592,-1.57,0.0
1702214304638,0.0,0.0
1702214304638,-1.57,0.0
1702214304638,-1.57,0.0
1702214304684,0.0,0.0
1702214304684,-1.57,0.0
1702214304684,-1.57,0.0
1702214304731,0.0,0.0
1702214304731,-1.57,0.0
1702214304731,-1.57,0.0
1702214304777,0.0,0.0
1702214304777,-1.57,0.0
1702214304777,-1.57,0.0
1702214304823,0.0,1.0
1702214304823,-1.57,1.0
1702214304823,-1.57,1.0
1702214304870,0.0,1.0
1702214304870,-1.44,1.0
1702214304870,-1.57,1.0
